feature,importance
NAME_HOUSING_TYPE_Coopapartment,3.5613999366760254
NAME_HOUSING_TYPE_Houseapartment,244.39856052398682
NAME_HOUSING_TYPE_Municipalapartment,54.71274995803833
NAME_HOUSING_TYPE_Officeapartment,195.180419921875
NAME_HOUSING_TYPE_Rentedapartment,8.598250389099121
NAME_HOUSING_TYPE_Withparents,96.48449945449829
OCCUPATION_TYPE_Accountants,55.071540117263794
OCCUPATION_TYPE_Cleaningstaff,18.82565975189209
OCCUPATION_TYPE_Cookingstaff,27.544250011444092
OCCUPATION_TYPE_Corestaff,798.2826170921326
OCCUPATION_TYPE_Drivers,578.7219767570496
OCCUPATION_TYPE_HRstaff,0.0
OCCUPATION_TYPE_Highskilltechstaff,152.0906708240509
OCCUPATION_TYPE_ITstaff,0.0
OCCUPATION_TYPE_Laborers,498.3548173904419
OCCUPATION_TYPE_LowskillLaborers,13.602099895477295
OCCUPATION_TYPE_Managers,10.310199737548828
OCCUPATION_TYPE_Medicinestaff,94.6304087638855
OCCUPATION_TYPE_Privateservicestaff,0.0
OCCUPATION_TYPE_Realtyagents,0.0
OCCUPATION_TYPE_Salesstaff,307.7646598815918
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Securitystaff,89.96247005462646
OCCUPATION_TYPE_Waitersbarmenstaff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,96.23171043395996
WEEKDAY_APPR_PROCESS_START_MONDAY,323.49761962890625
WEEKDAY_APPR_PROCESS_START_SATURDAY,100.9318995475769
WEEKDAY_APPR_PROCESS_START_SUNDAY,76.59481906890869
WEEKDAY_APPR_PROCESS_START_THURSDAY,124.68365001678467
WEEKDAY_APPR_PROCESS_START_TUESDAY,91.19538831710815
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,60.97709941864014
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_Bank,31.06871008872986
ORGANIZATION_TYPE_BusinessEntityType1,89.70384979248047
ORGANIZATION_TYPE_BusinessEntityType2,0.0
ORGANIZATION_TYPE_BusinessEntityType3,402.7759213447571
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,426.4041383266449
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,143.98795890808105
ORGANIZATION_TYPE_Hotel,0.0
ORGANIZATION_TYPE_Housing,0.0
ORGANIZATION_TYPE_Industrytype1,0.0
ORGANIZATION_TYPE_Industrytype10,0.0
ORGANIZATION_TYPE_Industrytype11,0.0
ORGANIZATION_TYPE_Industrytype12,0.0
ORGANIZATION_TYPE_Industrytype13,0.0
ORGANIZATION_TYPE_Industrytype2,0.0
ORGANIZATION_TYPE_Industrytype3,17.527090072631836
ORGANIZATION_TYPE_Industrytype4,0.0
ORGANIZATION_TYPE_Industrytype5,0.0
ORGANIZATION_TYPE_Industrytype6,0.0
ORGANIZATION_TYPE_Industrytype7,0.0
ORGANIZATION_TYPE_Industrytype8,0.0
ORGANIZATION_TYPE_Industrytype9,53.739089488983154
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,41.46310901641846
ORGANIZATION_TYPE_LegalServices,0.0
ORGANIZATION_TYPE_Medicine,141.61222171783447
ORGANIZATION_TYPE_Military,296.46824193000793
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,9.779950141906738
ORGANIZATION_TYPE_Police,113.58790016174316
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Realtor,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,0.0
ORGANIZATION_TYPE_School,386.7622067928314
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_SecurityMinistries,5.81417989730835
ORGANIZATION_TYPE_Selfemployed,579.2956001758575
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Tradetype1,0.0
ORGANIZATION_TYPE_Tradetype2,0.0
ORGANIZATION_TYPE_Tradetype3,7.984029769897461
ORGANIZATION_TYPE_Tradetype4,0.0
ORGANIZATION_TYPE_Tradetype5,0.0
ORGANIZATION_TYPE_Tradetype6,0.0
ORGANIZATION_TYPE_Tradetype7,7.17209005355835
ORGANIZATION_TYPE_Transporttype1,0.0
ORGANIZATION_TYPE_Transporttype2,0.0
ORGANIZATION_TYPE_Transporttype3,401.47784662246704
ORGANIZATION_TYPE_Transporttype4,33.96000003814697
ORGANIZATION_TYPE_University,0.0
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_notspecified,114.73972988128662
FONDKAPREMONT_MODE_orgspecaccount,4.275320053100586
FONDKAPREMONT_MODE_regoperaccount,5.511040210723877
FONDKAPREMONT_MODE_regoperspecaccount,19.07484006881714
HOUSETYPE_MODE_blockofflats,104.53109073638916
HOUSETYPE_MODE_specifichousing,69.10961985588074
HOUSETYPE_MODE_terracedhouse,0.0
WALLSMATERIAL_MODE_Block,7.376009941101074
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Panel,270.5487093925476
WALLSMATERIAL_MODE_Stonebrick,141.4425015449524
WALLSMATERIAL_MODE_Wooden,8.741920471191406
EMERGENCYSTATE_MODE_No,88.37491035461426
EMERGENCYSTATE_MODE_Yes,24.315889835357666
DAYS_EMPLOYED_PERC,4182.430337429047
INCOME_CREDIT_PERC,2377.7617206573486
INCOME_PER_PERSON,1716.6707191467285
ANNUITY_INCOME_PERC,4711.989548206329
PAYMENT_RATE,24841.70865046978
AMT_PERSO_CONTRIB,15115.440635204315
BURO_DAYS_CREDIT_MIN,1233.6330196857452
BURO_DAYS_CREDIT_MAX,2112.6714634895325
BURO_DAYS_CREDIT_MEAN,1855.7956676483154
BURO_DAYS_CREDIT_VAR,732.0388083457947
BURO_DAYS_CREDIT_ENDDATE_MIN,3139.9201703071594
BURO_DAYS_CREDIT_ENDDATE_MAX,1219.4478254318237
BURO_DAYS_CREDIT_ENDDATE_MEAN,2314.747757911682
BURO_DAYS_CREDIT_UPDATE_MEAN,1465.9348227977753
BURO_CREDIT_DAY_OVERDUE_MAX,0.0
BURO_CREDIT_DAY_OVERDUE_MEAN,0.0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1889.7433021068573
BURO_AMT_CREDIT_SUM_MAX,1268.7428705692291
BURO_AMT_CREDIT_SUM_MEAN,1054.465281009674
BURO_AMT_CREDIT_SUM_SUM,1692.8815002441406
BURO_AMT_CREDIT_SUM_DEBT_MAX,1024.7137331962585
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1261.9469530582428
BURO_AMT_CREDIT_SUM_DEBT_SUM,902.4470872879028
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,761.2576198577881
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,913.0491781234741
BURO_AMT_CREDIT_SUM_LIMIT_SUM,945.6277942657471
BURO_AMT_ANNUITY_MAX,233.44313144683838
BURO_AMT_ANNUITY_MEAN,249.57173871994019
BURO_CNT_CREDIT_PROLONG_SUM,22.87660026550293
BURO_MONTHS_BALANCE_MIN_MIN,771.9280025959015
BURO_MONTHS_BALANCE_MAX_MAX,0.0
BURO_MONTHS_BALANCE_SIZE_MEAN,857.0853431224823
BURO_MONTHS_BALANCE_SIZE_SUM,607.0238351821899
BURO_CREDIT_ACTIVE_Active_MEAN,217.1140501499176
BURO_CREDIT_ACTIVE_Baddebt_MEAN,0.0
BURO_CREDIT_ACTIVE_Closed_MEAN,257.7777190208435
BURO_CREDIT_ACTIVE_Sold_MEAN,61.72184944152832
BURO_CREDIT_CURRENCY_currency1_MEAN,0.0
BURO_CREDIT_CURRENCY_currency2_MEAN,0.0
BURO_CREDIT_CURRENCY_currency3_MEAN,0.0
BURO_CREDIT_CURRENCY_currency4_MEAN,0.0
BURO_CREDIT_TYPE_Anothertypeofloan_MEAN,0.0
BURO_CREDIT_TYPE_Carloan_MEAN,430.7821066379547
BURO_CREDIT_TYPE_Cashloannonearmarked_MEAN,0.0
BURO_CREDIT_TYPE_Consumercredit_MEAN,1021.8638315200806
BURO_CREDIT_TYPE_Creditcard_MEAN,531.5529680252075
BURO_CREDIT_TYPE_Loanforbusinessdevelopment_MEAN,0.0
BURO_CREDIT_TYPE_Loanforpurchaseofsharesmarginlending_MEAN,0.0
BURO_CREDIT_TYPE_Loanforthepurchaseofequipment_MEAN,0.0
BURO_CREDIT_TYPE_Loanforworkingcapitalreplenishment_MEAN,0.0
BURO_CREDIT_TYPE_Microloan_MEAN,1226.78080368042
BURO_CREDIT_TYPE_Mobileoperatorloan_MEAN,0.0
BURO_CREDIT_TYPE_Mortgage_MEAN,1052.4656267166138
BURO_CREDIT_TYPE_Realestateloan_MEAN,0.0
BURO_CREDIT_TYPE_Unknowntypeofloan_MEAN,0.0
BURO_STATUS_0_MEAN_MEAN,592.9162583351135
BURO_STATUS_1_MEAN_MEAN,221.23107957839966
BURO_STATUS_2_MEAN_MEAN,33.80546951293945
BURO_STATUS_3_MEAN_MEAN,0.0
BURO_STATUS_4_MEAN_MEAN,0.0
BURO_STATUS_5_MEAN_MEAN,0.0
BURO_STATUS_C_MEAN_MEAN,460.1224117279053
BURO_STATUS_X_MEAN_MEAN,302.2905812263489
ACTIVE_DAYS_CREDIT_MIN,1265.4218821525574
ACTIVE_DAYS_CREDIT_MAX,5327.614496231079
ACTIVE_DAYS_CREDIT_MEAN,1401.7798435688019
ACTIVE_DAYS_CREDIT_VAR,877.5734751224518
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2884.2066695690155
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,2375.622298002243
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,2079.51251578331
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,1618.3032450675964
